,,0,h,l,c,,,EMA12,EMA26,DIF,DEA
2014.04.16,22:30,14418,14423,14411,14413,8,,,,,
2014.04.16,23:30,14418,14418,14368,14390,214,,,,,
2014.04.17,0:00,14393,14498,14363,14470,961,,,,,
2014.04.17,1:00,14473,14483,14398,14423,613,,,,,
2014.04.17,2:00,14421,14426,14348,14388,707,,,,,
2014.04.17,3:00,14390,14418,14356,14380,521,,,,,
2014.04.17,4:00,14383,14468,14383,14453,551,,,,,
2014.04.17,5:00,14455,14468,14408,14418,549,,,,,
2014.04.17,6:00,14420,14423,14363,14383,273,,,,,
2014.04.17,7:00,14385,14403,14358,14403,309,,,,,
2014.04.17,8:00,14398,14398,14368,14368,254,,,,,
2014.04.17,9:00,14363,14388,14363,14373,303,,,,,
2014.04.17,10:00,14368,14383,14368,14378,182,,,,,
2014.04.17,11:00,14375,14408,14375,14403,254,,,,,
2014.04.17,12:00,14401,14433,14393,14408,325,,,,,
2014.04.17,13:00,14406,14423,14380,14398,1149,,,,,
2014.04.17,14:00,14418,14433,14388,14428,1605,,,,,
2014.04.17,15:00,14430,14438,14403,14413,496,,,,,
2014.04.17,16:00,14408,14453,14408,14448,422,,,,,
2014.04.17,17:00,14450,14493,14448,14478,316,,,,,
2014.04.17,18:00,14476,14498,14465,14498,169,,,,,
2014.04.17,19:00,14496,14518,14490,14498,135,,,,,
2014.04.20,23:00,14503,14564,14503,14549,101,,,,,
2014.04.21,0:00,14546,14644,14544,14619,561,,,,,
2014.04.21,1:00,14621,14649,14604,14622,328,,,,,
2014.04.21,2:00,14624,14629,14609,14614,183,,,,,
2014.04.21,3:00,14616,14621,14564,14574,166,,,,,
2014.04.21,4:00,14576,14592,14504,14549,265,,,,,
2014.04.21,5:00,14544,14564,14514,14517,213,,,,,
2014.04.21,6:00,14514,14534,14494,14526,162,,,,,
2014.04.21,7:00,14524,14539,14519,14529,49,,,,,
2014.04.21,8:00,14527,14542,14526,14539,19,,,,,
2014.04.21,9:00,14534,14544,14534,14534,15,,,,,
2014.04.21,10:00,14539,14554,14539,14554,6,,,,,
2014.04.21,11:00,14549,14564,14549,14554,20,,,,,
2014.04.21,12:00,14552,14554,14529,14539,102,,,,,
2014.04.21,13:00,14534,14559,14534,14554,210,,,,,
2014.04.21,14:00,14559,14564,14519,14539,328,,,,,
2014.04.21,15:00,14539,14554,14534,14544,173,,,,,
2014.04.21,16:00,14539,14554,14529,14544,197,,,,,
2014.04.21,17:00,14541,14549,14541,14546,122,,,,,
2014.04.21,18:00,14547,14572,14541,14569,93,,,,,
2014.04.21,19:00,14566,14572,14546,14564,111,,,,,
2014.04.21,21:30,14554,14564,14551,14556,28,,,,,
2014.04.21,22:30,14554,14559,14554,14559,16,,,,,
2014.04.21,23:30,14557,14584,14549,14577,91,,,,,
2014.04.22,0:00,14576,14604,14564,14569,572,,,,,
2014.04.22,1:00,14571,14582,14527,14564,366,,,,,
2014.04.22,2:00,14562,14564,14549,14559,246,,,,,
2014.04.22,3:00,14556,14576,14539,14544,231,,,,,
2014.04.22,4:00,14541,14564,14509,14519,306,,,,,
2014.04.22,5:00,14514,14522,14384,14387,787,,,,,
2014.04.22,6:00,14389,14402,14339,14374,348,,,,,
2014.04.22,7:00,14372,14399,14354,14369,426,,,,,
2014.04.22,8:00,14371,14394,14364,14379,194,,,,,
2014.04.22,9:00,14374,14399,14374,14389,164,,,,,
2014.04.22,10:00,14387,14434,14384,14416,259,,,,,
2014.04.22,11:00,14421,14429,14411,14411,204,,,,,
2014.04.22,12:00,14413,14421,14386,14404,246,,,,,
2014.04.22,13:00,14406,14429,14394,14424,530,,,,,
2014.04.22,14:00,14426,14461,14416,14454,703,,,,,
2014.04.22,15:00,14459,14484,14449,14479,343,,,,,
2014.04.22,16:00,14476,14494,14474,14484,144,,,,,
2014.04.22,17:00,14487,14489,14464,14471,180,,,,,
2014.04.22,18:00,14472,14484,14451,14474,159,,,,,
2014.04.22,19:00,14476,14479,14444,14464,143,,,,,
2014.04.22,21:30,14467,14467,14449,14454,41,,,,,
2014.04.22,22:30,14456,14464,14454,14459,47,,,,,
2014.04.22,23:30,14462,14494,14462,14489,115,,,,,
