Time,Type,Volume,Symbol,Price,S/L,T/P,Time,Price,Commission,Swap,Profit,Comment,,,,
2020.01.31 16:52:00,Buy,0.09,EURUSD,1.10668,,1.10918,2020.01.31 23:25:13,1.10918,,,22.5,[tp],,-0.00511,,0.0025
2020.01.27 21:19:03,Buy,1.93,EURUSD,1.10157,,1.10657,2020.01.31 16:51:40,1.10657,,-162.12,965,[tp],,0.00252,,0.005
2020.01.23 18:07:00,Buy,0.7,EURUSD,1.10409,,1.10657,2020.01.31 16:51:40,1.10657,,-78.4,173.6,[tp],,0.0026,,0.00248
2020.01.23 16:18:00,Buy,0.09,EURUSD,1.10669,,1.10657,2020.01.31 16:51:40,1.10657,,-10.08,-1.08,[tp],,0.00261,,-0.00012
2020.01.17 17:36:02,Buy,0.25,EURUSD,1.1093,,1.10657,2020.01.31 16:51:40,1.10657,,-49,-68.25,[tp],,0.00255,,-0.00273
2020.01.17 12:58:02,Buy,0.15,EURUSD,1.11185,,1.10657,2020.01.31 16:51:40,1.10657,,-29.4,-79.2,[tp],,0.00255,,-0.00528
2020.01.16 16:53:00,Buy,0.09,EURUSD,1.1144,,1.10657,2020.01.31 16:51:40,1.10657,,-18.36,-70.47,[tp],,0.00263,,-0.00783
2020.01.16 14:33:00,Buy,0.09,EURUSD,1.11703,,1.10657,2020.01.31 16:51:40,1.10657,,-18.36,-94.14,[tp],,-0.01422,,-0.01046
2020.01.24 13:37:00,Sell,0.09,EURUSD,1.10281,,1.10031,2020.01.28 14:32:51,1.10031,,1,22.5,[tp],,,,
2020.01.27 17:41:00,Buy,0.09,EURUSD,1.10159,,1.1016,2020.01.27 21:10:27,1.1016,,,0.09,[tp],,0.00404,,1.00E-05
2020.01.23 17:18:00,Sell,0.09,EURUSD,1.10563,,1.10313,2020.01.24 13:36:00,1.10313,,0.5,22.5,[tp],,,,
2020.01.23 02:31:00,Sell,0.09,EURUSD,1.10979,,1.10602,2020.01.23 17:17:31,1.10602,,,33.93,[tp],,,,
2020.01.22 17:01:01,Sell,0.09,EURUSD,1.10725,,1.10602,2020.01.23 17:17:31,1.10602,,1.49,11.07,[tp],,,,
2020.01.17 16:04:01,Sell,0.09,EURUSD,1.1098,,1.1073,2020.01.22 17:00:07,1.1073,,1.5,22.5,[tp],,,,
2020.01.15 13:10:00,Sell,0.09,EURUSD,1.11535,,1.10984,2020.01.17 16:02:07,1.1098,,-0.19,49.95,[tp],,,,
2020.01.10 19:05:00,Sell,0.09,EURUSD,1.1122,,1.10984,2020.01.17 16:02:07,1.1098,,1.33,21.6,[tp],,,,
2020.01.09 17:41:18,Sell,0.09,EURUSD,1.10946,,1.10984,2020.01.17 16:02:07,1.1098,,1.83,-3.06,[tp],,,,
2020.01.08 18:29:01,Buy,0.42,EURUSD,1.11112,,1.11673,2020.01.16 14:32:35,1.11678,,-51.24,237.72,[tp],,0.00261,,0.00566
2020.01.07 17:41:02,Buy,0.25,EURUSD,1.11373,,1.11673,2020.01.16 14:32:35,1.11678,,-32.5,76.25,[tp],,0.00259,,0.00305
2020.01.07 15:55:01,Buy,0.15,EURUSD,1.11632,,1.11673,2020.01.16 14:32:35,1.11678,,-19.5,6.9,[tp],,0.00258,,0.00046
2020.01.06 11:52:02,Buy,0.15,EURUSD,1.1189,,1.11673,2020.01.16 14:32:35,1.11678,,-20.7,-31.8,[tp],,0,,-0.00212
2020.01.06 11:46:14,Buy,0.09,EURUSD,1.1189,,1.11673,2020.01.16 14:32:35,1.11678,,-12.42,-19.08,[tp],,-0.00683,,-0.00212
2020.01.08 13:22:01,Sell,0.09,EURUSD,1.11207,,1.10957,2020.01.09 17:40:32,1.10957,,1.49,22.5,[tp],,,,
2020.01.07 17:01:03,Sell,0.09,EURUSD,1.11462,,1.11212,2020.01.08 13:21:54,1.11212,,-0.05,22.5,[tp],,,,
2020.01.06 11:52:02,Sell,0.25,EURUSD,1.11876,,1.11454,2020.01.07 17:00:09,1.11451,,-0.13,106.25,[tp],,,,
2020.01.03 17:00:01,Sell,0.09,EURUSD,1.11634,,1.11454,2020.01.07 17:00:09,1.11451,,-0.1,16.47,[tp],,,,
2020.01.03 13:07:01,Sell,0.09,EURUSD,1.11295,,1.11454,2020.01.07 17:00:09,1.11451,,-0.1,-14.04,[tp],,,,
2020.01.03 12:38:03,Buy,0.25,EURUSD,1.11329,,1.11868,2020.01.06 11:42:41,1.11868,,-2,134.75,[tp],,0.0025,,0.00539
2020.01.03 09:21:02,Buy,0.15,EURUSD,1.11579,,1.11868,2020.01.06 11:42:41,1.11868,,-1.2,43.35,[tp],,0.00283,,0.00289
2020.01.02 18:20:57,Buy,0.09,EURUSD,1.11862,,1.11868,2020.01.06 11:42:41,1.11868,,-1.44,0.54,[tp],,0.00378,,6.00E-05
2019.12.31 13:34:01,Buy,0.09,EURUSD,1.1224,,1.11868,2020.01.06 11:42:41,1.11868,,-4.32,-33.48,[tp],,-0.00677,,-0.00372
2020.01.03 09:21:02,Sell,0.09,EURUSD,1.11563,,1.11313,2020.01.03 13:06:30,1.11313,,,22.5,[tp],,,,
2020.01.02 18:27:05,Sell,0.09,EURUSD,1.11848,,1.11598,2020.01.03 09:20:39,1.11583,,-0.05,23.85,[tp],,,,
2019.12.31 14:51:14,Sell,1.16,EURUSD,1.12318,,1.11714,2020.01.02 16:52:44,1.11711,,-2.32,704.12,[tp],,,,
2019.12.30 05:03:01,Sell,0.09,EURUSD,1.12065,,1.11714,2020.01.02 16:52:44,1.11711,,-0.24,31.86,[tp],,,,
2019.12.27 19:41:03,Sell,0.37,EURUSD,1.11793,,1.11714,2020.01.02 16:52:44,1.11711,,-1.13,30.34,[tp],,,,
2019.12.27 14:23:01,Sell,0.22,EURUSD,1.11538,,1.11714,2020.01.02 16:52:44,1.11711,,-0.66,-38.06,[tp],,,,
2019.12.27 09:41:00,Sell,0.13,EURUSD,1.11269,,1.11714,2020.01.02 16:52:44,1.11711,,-0.41,-57.46,[tp],,,,
2019.12.26 18:22:03,Sell,0.08,EURUSD,1.11013,,1.11714,2020.01.02 16:52:44,1.11711,,0.2,-55.84,[tp],,,,
2019.12.20 18:25:00,Sell,0.08,EURUSD,1.10755,,1.11714,2020.01.02 16:52:44,1.11711,,2.84,-76.48,[tp],,,,
2019.12.30 04:18:08,Buy,0.09,EURUSD,1.11967,,1.12217,2019.12.31 13:33:17,1.12219,,-0.72,22.68,[tp],,-0.00268,,0.00252
2019.12.27 17:17:01,Buy,0.08,EURUSD,1.11699,,1.11949,2019.12.30 04:17:16,1.11949,,-0.64,20,[tp],,-0.00272,,0.0025
2019.12.27 12:19:00,Buy,0.08,EURUSD,1.11427,,1.11677,2019.12.27 17:16:56,1.11677,,,20,[tp],,-0.0053,,0.0025
2019.12.20 15:31:00,Buy,0.22,EURUSD,1.10897,,1.11412,2019.12.27 12:17:09,1.11412,,-21.56,113.3,[tp],,0.00252,,0.00515
2019.12.18 15:16:00,Buy,0.13,EURUSD,1.11149,,1.11412,2019.12.27 12:17:09,1.11412,,-16.9,34.19,[tp],,0.00258,,0.00263
2019.12.18 03:48:08,Buy,0.08,EURUSD,1.11407,,1.11412,2019.12.27 12:17:09,1.11412,,-10.4,0.4,[tp],,0.00261,,5.00E-05
2019.12.17 13:38:03,Buy,0.08,EURUSD,1.11668,,1.11412,2019.12.27 12:17:09,1.11412,,-11.04,-20.48,[tp],,-0.00654,,-0.00256
2019.12.20 13:15:00,Sell,0.08,EURUSD,1.11014,,1.10764,2019.12.20 18:24:47,1.10764,,,20,[tp],,,,
2019.12.19 12:59:00,Sell,0.08,EURUSD,1.11425,,1.11036,2019.12.20 13:14:02,1.11033,,-0.04,31.36,[tp],,,,
2019.12.18 15:12:00,Sell,0.08,EURUSD,1.11147,,1.11036,2019.12.20 13:14:02,1.11033,,-0.16,9.12,[tp],,,,
2019.12.16 17:05:00,Sell,0.08,EURUSD,1.11548,,1.11167,2019.12.18 15:11:05,1.11165,,-0.08,30.64,[tp],,,,
2019.12.13 17:10:00,Sell,0.08,EURUSD,1.11286,,1.11167,2019.12.18 15:11:05,1.11165,,-0.12,9.68,[tp],,,,
2019.12.13 19:46:00,Buy,0.22,EURUSD,1.1114,,1.11662,2019.12.17 13:36:09,1.11662,,-3.52,114.84,[tp],,0.00252,,0.00522
2019.12.13 17:08:01,Buy,0.13,EURUSD,1.11392,,1.11662,2019.12.17 13:36:09,1.11662,,-2.08,35.1,[tp],,0.0028,,0.0027
2019.12.13 08:28:02,Buy,0.08,EURUSD,1.11672,,1.11662,2019.12.17 13:36:09,1.11662,,-1.28,-0.8,[tp],,0.0026,,-1.00E-04
2019.12.13 00:29:01,Buy,0.08,EURUSD,1.11932,,1.11662,2019.12.17 13:36:09,1.11662,,-1.28,-21.6,[tp],,-0.00036,,-0.0027
2019.12.13 00:28:00,Sell,0.62,EURUSD,1.11896,,1.11293,2019.12.13 17:09:09,1.11267,,,389.98,[tp],,,,
2019.12.13 00:07:33,Sell,0.37,EURUSD,1.11614,,1.11293,2019.12.13 17:09:09,1.11267,,,128.39,[tp],,,,
2019.12.11 21:51:00,Sell,0.22,EURUSD,1.11335,,1.11293,2019.12.13 17:09:09,1.11267,,-0.44,14.96,[tp],,,,
2019.12.11 21:14:01,Sell,0.13,EURUSD,1.11082,,1.11293,2019.12.13 17:09:09,1.11267,,-0.27,-24.05,[tp],,,,
2019.12.10 13:11:00,Sell,0.08,EURUSD,1.10799,,1.11293,2019.12.13 17:09:09,1.11267,,-0.2,-37.44,[tp],,,,
2019.12.06 17:01:01,Sell,0.08,EURUSD,1.10548,,1.11293,2019.12.13 17:09:09,1.11267,,0.68,-57.52,[tp],,,,
2019.12.13 00:06:02,Buy,0.08,EURUSD,1.11655,,1.11905,2019.12.13 00:28:54,1.11913,,,20.64,[tp],,-0.00418,,0.00258
2019.12.12 16:53:00,Buy,0.08,EURUSD,1.11237,,1.11621,2019.12.13 00:05:00,1.11663,,-0.64,34.08,[tp],,0.00267,,0.00426
2019.12.12 15:35:00,Buy,0.08,EURUSD,1.11504,,1.11621,2019.12.13 00:05:00,1.11663,,-0.64,12.72,[tp],,-0.00296,,0.00159
2019.12.11 21:44:01,Buy,0.08,EURUSD,1.11208,,1.11458,2019.12.12 15:34:21,1.11459,,-1.92,20.08,[tp],,-0.00258,,0.00251
2019.12.10 18:07:02,Buy,0.08,EURUSD,1.1095,,1.112,2019.12.11 21:43:38,1.11203,,-0.64,20.24,[tp],,-0.00488,,0.00253
2019.12.06 17:46:01,Buy,0.13,EURUSD,1.10462,,1.10925,2019.12.10 18:06:05,1.10931,,-3.64,60.97,[tp],,0.00254,,0.00469
2019.12.04 18:51:01,Buy,0.08,EURUSD,1.10716,,1.10925,2019.12.10 18:06:05,1.10931,,-4.8,17.2,[tp],,0.00265,,0.00215
2019.12.04 15:48:02,Buy,0.08,EURUSD,1.10981,,1.10925,2019.12.10 18:06:05,1.10931,,-4.8,-4,[tp],,0.00127,,-0.0005
2019.12.04 17:01:01,Sell,0.62,EURUSD,1.11108,,1.10549,2019.12.06 17:00:31,1.10549,,-1.24,346.58,[tp],,,,
2019.12.02 18:29:02,Sell,0.37,EURUSD,1.10857,,1.10549,2019.12.06 17:00:31,1.10549,,-1.13,113.96,[tp],,,,
2019.12.02 17:02:07,Sell,0.22,EURUSD,1.10604,,1.10549,2019.12.06 17:00:31,1.10549,,-0.66,12.1,[tp],,,,
