"約定日時","取引区分","受渡日","約定番号","銘柄名","銘柄コード","限月","コールプット区分","権利行使価格","権利行使価格通貨","カバードワラント商品種別","売買区分","通貨","市場","口座","信用区分","約定数量","約定単価","コンバージョンレート","手数料","手数料消費税","建単価","新規手数料","新規手数料消費税","管理費","名義書換料","金利","貸株料","品貸料","前日分値洗","経過利子（円貨）","経過利子（外貨）","経過日数（外債）","所得税（外債）","地方税（外債）","金利・価格調整額（CFD）","配当金調整額（CFD）","売建単価（くりっく365）","買建単価（くりっく365）","円貨スワップ損益","外貨スワップ損益","約定金額（円貨）","約定金額（外貨）","決済金額（円貨）","決済金額（外貨）","実現損益","受渡金額（円貨）","備考"
"2019/11/01 10:20:26","FXネオ新規","2019/11/01","005811","GBP/JPY","","","","","","","買","","","","","10000","139.816","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0",""
"2019/11/01 10:35:57","FXネオ決済","2019/11/01","005812","GBP/JPY","","","","","","","売","","","","","10000","139.877","","","","139.816","","","","","","","","","","","","","","","","","","","","","","610","","610","610",""
"2019/11/01 10:45:04","FXネオ新規","2019/11/01","005813","GBP/JPY","","","","","","","買","","","","","10000","139.921","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0",""
"2019/11/01 10:45:27","FXネオ決済","2019/11/01","005814","GBP/JPY","","","","","","","売","","","","","10000","139.928","","","","139.921","","","","","","","","","","","","","","","","","","","","","","70","","70","70",""
"2019/11/01 10:50:12","FXネオ決済","2019/11/01","005815","GBP/JPY","","","","","","","売","","","","","10000","139.953","","","","139.949","","","","","","","","","","","","","","","","","","","","","","40","","40","40",""
"2019/11/01 10:55:14","FXネオ新規","2019/11/01","005816","GBP/JPY","","","","","","","売","","","","","10000","140.012","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0",""
"2019/11/01 11:03:34","FXネオ決済","2019/11/01","005817","GBP/JPY","","","","","","","買","","","","","10000","139.996","","","","140.012","","","","","","","","","","","","","","","","","","","","","","160","","160","160",""
"2019/11/01 11:05:39","FXネオ新規","2019/11/01","005818","GBP/JPY","","","","","","","売","","","","","10000","139.980","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0",""
"2019/11/01 11:12:24","FXネオ新規","2019/11/01","005819","GBP/JPY","","","","","","","売","","","","","10000","139.963","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0",""
"2019/11/01 11:20:10","FXネオ決済","2019/11/01","005820","GBP/JPY","","","","","","","買","","","","","10000","140.013","","","","139.963","","","","","","","","","","","","","","","","","","","","","","-500","","-500","-500",""
"2019/11/01 11:20:12","FXネオ決済","2019/11/01","005821","GBP/JPY","","","","","","","買","","","","","10000","140.014","","","","139.980","","","","","","","","","","","","","","","","","","","","","","-340","","-340","-340",""
"2019/11/01 11:24:56","FXネオ新規","2019/11/01","005822","GBP/JPY","","","","","","","売","","","","","10000","140.003","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0",""
"2019/11/01 11:55:46","FXネオ決済","2019/11/01","005823","GBP/JPY","","","","","","","買","","","","","10000","140.094","","","","140.003","","","","","","","","","","","","","","","","","","","","","","-910","","-910","-910",""
"2019/11/01 13:15:57","FXネオ新規","2019/11/01","005824","GBP/JPY","","","","","","","買","","","","","10000","140.021","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0",""
"2019/11/01 14:10:48","FXネオ決済","2019/11/01","005825","GBP/JPY","","","","","","","売","","","","","10000","140.022","","","","140.021","","","","","","","","","","","","","","","","","","","","","","10","","10","10",""
"2019/11/01 16:05:33","FXネオ新規","2019/11/01","005826","GBP/JPY","","","","","","","買","","","","","10000","140.038","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0",""
