"約定日時","取引区分","受渡日","約定番号","銘柄名","銘柄コード","限月","コールプット区分","権利行使価格","権利行使価格通貨","カバードワラント商品種別","売買区分","通貨","市場","口座","信用区分","約定数量","約定単価","コンバージョンレート","手数料","手数料消費税","建単価","新規手数料","新規手数料消費税","管理費","名義書換料","金利","貸株料","品貸料","前日分値洗","経過利子（円貨）","経過利子（外貨）","経過日数（外債）","所得税（外債）","地方税（外債）","金利・価格調整額（CFD）","配当金調整額（CFD）","売建単価（くりっく365）","買建単価（くりっく365）","円貨スワップ損益","外貨スワップ損益","約定金額（円貨）","約定金額（外貨）","決済金額（円貨）","決済金額（外貨）","実現損益","受渡金額（円貨）","備考"
"2020/03/04 00:14:33","FXネオ決済","2020/03/03","007910","USD/JPY","","","","","","","買","","","","","10000","107.498","","","","107.785","","","","","","","","","","","","","","","","","","","","","","2870","","2870","2870",""
"2020/03/04 00:14:37","FXネオ決済","2020/03/03","007911","USD/JPY","","","","","","","買","","","","","10000","107.492","","","","107.593","","","","","","","","","","","","","","","","","","","","","","1010","","1010","1010",""
"2020/03/04 00:17:28","FXネオ新規","2020/03/03","007912","USD/JPY","","","","","","","売","","","","","10000","107.253","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0",""
"2020/03/04 00:17:29","FXネオ新規","2020/03/03","007913","USD/JPY","","","","","","","売","","","","","10000","107.227","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0",""
"2020/03/05 18:10:26","FXネオ決済","2020/03/05","007914","USD/JPY","","","","","","","買","","","","","10000","107.019","","","","107.227","","","","","","","","","","","","","","","","","","","","","","2080","","2080","2080",""
"2020/03/05 18:10:29","FXネオ決済","2020/03/05","007915","USD/JPY","","","","","","","買","","","","","10000","107.022","","","","107.253","","","","","","","","","","","","","","","","","","","","","","2310","","2310","2310",""
"2020/03/05 22:21:21","FXネオ新規","2020/03/05","007916","USD/JPY","","","","","","","売","","","","","10000","106.823","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0",""
"2020/03/05 22:21:21","FXネオ新規","2020/03/05","007917","USD/JPY","","","","","","","売","","","","","10000","106.821","","","","","","","","","","","","","","","","","","","","","","","","","","0","","0","0",""
"2020/03/05 23:05:08","FXネオ決済","2020/03/05","007918","USD/JPY","","","","","","","買","","","","","10000","106.822","","","","106.823","","","","","","","","","","","","","","","","","","","","","","10","","10","10",""
"2020/03/06 00:02:34","FXネオ決済","2020/03/05","007919","USD/JPY","","","","","","","買","","","","","10000","106.704","","","","106.781","","","","","","","","","","","","","","","","","","","","","","770","","770","770",""
"2020/03/06 00:02:37","FXネオ決済","2020/03/05","007920","USD/JPY","","","","","","","買","","","","","10000","106.707","","","","106.779","","","","","","","","","","","","","","","","","","","","","","720","","720","720",""
"2020/03/06 00:02:41","FXネオ決済","2020/03/05","007921","USD/JPY","","","","","","","買","","","","","10000","106.709","","","","106.821","","","","","","","","","","","","","","","","","","","","","","1120","","1120","1120",""
"2020/03/06 05:50:35","FXネオ決済","2020/03/05","007922","USD/JPY","","","","","","","買","","","","","10000","106.251","","","","106.340","","","","","","","","","","","","","","","","","","","","","","890","","890","890",""
"2020/03/06 05:58:25","FXネオ決済","2020/03/05","007923","USD/JPY","","","","","","","買","","","","","10000","106.091","","","","106.169","","","","","","","","","","","","","","","","","","","","","","780","","780","780",""
"2020/03/06 05:58:28","FXネオ決済","2020/03/05","007924","USD/JPY","","","","","","","買","","","","","10000","106.084","","","","106.167","","","","","","","","","","","","","","","","","","","","","","830","","830","830",""
"2020/03/06 05:58:31","FXネオ決済","2020/03/05","007925","USD/JPY","","","","","","","買","","","","","10000","106.076","","","","106.189","","","","","","","","","","","","","","","","","","","","","","1130","","1130","1130",""
